                                                                         query expected retrieved  score  top1_correct  top3_correct  retrieval_mode
                 I forgot my login credentials and need a password reset link.   FAQ001    FAQ001 0.5903          True          True TF-IDF baseline
                       How can I move my account to a different email address?   FAQ002    FAQ002 0.3631          True          True TF-IDF baseline
               There are suspicious changes on my profile that I did not make.   FAQ003    FAQ002 0.2756         False         False TF-IDF baseline
                       How do I request that my profile and account be erased?   FAQ004    FAQ002 0.3690         False          True TF-IDF baseline
                           The order is still processing; can I cancel it now?   FAQ005    FAQ005 0.4984          True          True TF-IDF baseline
                     I need the courier tracking number for an order I placed.   FAQ006    FAQ006 0.2013          True          True TF-IDF baseline
                 Can the destination be corrected before my parcel is shipped?   FAQ007    FAQ005 0.2039         False         False TF-IDF baseline
             The courier marked it delivered, but I never received the parcel.   FAQ008    FAQ008 0.2736          True          True TF-IDF baseline
                   How many business days does standard shipping usually need?   FAQ009    FAQ009 0.5107          True          True TF-IDF baseline
            What is the estimated transit time for the faster shipping option?   FAQ010    FAQ009 0.2347         False          True TF-IDF baseline
                             Does standard shipping include Sunday deliveries?   FAQ011    FAQ009 0.3964         False          True TF-IDF baseline
                                 Are overseas shipping destinations supported?   FAQ012    FAQ044 0.2330         False         False TF-IDF baseline
             Is an item delivered ten days ago still inside the return window?   FAQ013    FAQ013 0.2415          True          True TF-IDF baseline
                      I opened the box already. Can the product still go back?   FAQ014    FAQ014 0.4015          True          True TF-IDF baseline
                        Where in My Orders can I begin sending something back?   FAQ015    FAQ006 0.1140         False         False TF-IDF baseline
                                Who is responsible for the return courier fee?   FAQ016    FAQ016 0.3187          True          True TF-IDF baseline
      How soon after inspection does the support team initiate the money back?   FAQ017    FAQ019 0.1692         False          True TF-IDF baseline
               Does the refund return to the same card I originally paid with?   FAQ018    FAQ018 0.3081          True          True TF-IDF baseline
        My bank processing time has passed and the promised refund is missing.   FAQ019    FAQ017 0.4083         False          True TF-IDF baseline
                   What forms of electronic payment are supported at checkout?   FAQ020    FAQ020 0.2869          True          True TF-IDF baseline
                                  Is payment on delivery available in my area?   FAQ021    FAQ021 0.3260          True          True TF-IDF baseline
               The bank is refusing my checkout transaction. What can I check?   FAQ022    FAQ023 0.2197         False         False TF-IDF baseline
