faq_id,policy_id,category,intent,question,answer,keywords,priority,escalation_required,risk_type,source,variant
FAQ001_V1,FAQ001,Account,intent_001,How do I reset my password?,Use the 'Forgot Password' link on the sign-in page. A password reset link will be sent to the email registered with the account.,reset password forgot login account email,Normal,No,account,Synthetic e-commerce customer support dataset,1
FAQ001_V2,FAQ001,Account,intent_001,I cannot remember my password. How can I get back into my account?,Use the 'Forgot Password' link on the sign-in page. A password reset link will be sent to the email registered with the account.,reset password forgot login account email,Normal,No,account,Synthetic e-commerce customer support dataset,2
FAQ001_V3,FAQ001,Account,intent_001,Please help me with this customer issue: I cannot remember my password. How can I get back into my account?,Use the 'Forgot Password' link on the sign-in page. A password reset link will be sent to the email registered with the account.,reset password forgot login account email,Normal,No,account,Synthetic e-commerce customer support dataset,3
FAQ001_V4,FAQ001,Account,intent_001,Support question: I cannot remember my password. How can I get back into my account?,Use the 'Forgot Password' link on the sign-in page. A password reset link will be sent to the email registered with the account.,reset password forgot login account email,Normal,No,account,Synthetic e-commerce customer support dataset,4
FAQ002_V1,FAQ002,Account,intent_002,How do I change my account email?,"Go to Account Settings > Profile > Email. For security, you must verify the new email address before the change is completed.",change email profile verify account,Normal,No,account,Synthetic e-commerce customer support dataset,1
FAQ002_V2,FAQ002,Account,intent_002,I want to replace the email address linked to my profile.,"Go to Account Settings > Profile > Email. For security, you must verify the new email address before the change is completed.",change email profile verify account,Normal,No,account,Synthetic e-commerce customer support dataset,2
FAQ002_V3,FAQ002,Account,intent_002,Please help me with this customer issue: I want to replace the email address linked to my profile.,"Go to Account Settings > Profile > Email. For security, you must verify the new email address before the change is completed.",change email profile verify account,Normal,No,account,Synthetic e-commerce customer support dataset,3
FAQ002_V4,FAQ002,Account,intent_002,Support question: I want to replace the email address linked to my profile.,"Go to Account Settings > Profile > Email. For security, you must verify the new email address before the change is completed.",change email profile verify account,Normal,No,account,Synthetic e-commerce customer support dataset,4
FAQ003_V1,FAQ003,Account,intent_003,What should I do if I think my account was hacked?,Immediately reset your password and contact customer support. Account-security incidents must be reviewed by a human support agent.,hacked compromised security unauthorized account,High,Yes,account,Synthetic e-commerce customer support dataset,1
FAQ003_V2,FAQ003,Account,intent_003,I think someone else accessed my account without permission.,Immediately reset your password and contact customer support. Account-security incidents must be reviewed by a human support agent.,hacked compromised security unauthorized account,High,Yes,account,Synthetic e-commerce customer support dataset,2
FAQ003_V3,FAQ003,Account,intent_003,Please help me with this customer issue: I think someone else accessed my account without permission.,Immediately reset your password and contact customer support. Account-security incidents must be reviewed by a human support agent.,hacked compromised security unauthorized account,High,Yes,account,Synthetic e-commerce customer support dataset,3
FAQ003_V4,FAQ003,Account,intent_003,Support question: I think someone else accessed my account without permission.,Immediately reset your password and contact customer support. Account-security incidents must be reviewed by a human support agent.,hacked compromised security unauthorized account,High,Yes,account,Synthetic e-commerce customer support dataset,4
FAQ004_V1,FAQ004,Account,intent_004,Can I delete my account?,Yes. Submit an account deletion request from Privacy Settings. The request may require identity verification before processing.,delete account privacy remove data verification,High,Yes,account,Synthetic e-commerce customer support dataset,1
FAQ004_V2,FAQ004,Account,intent_004,I want the company to permanently remove my account.,Yes. Submit an account deletion request from Privacy Settings. The request may require identity verification before processing.,delete account privacy remove data verification,High,Yes,account,Synthetic e-commerce customer support dataset,2
FAQ004_V3,FAQ004,Account,intent_004,Please help me with this customer issue: I want the company to permanently remove my account.,Yes. Submit an account deletion request from Privacy Settings. The request may require identity verification before processing.,delete account privacy remove data verification,High,Yes,account,Synthetic e-commerce customer support dataset,3
FAQ004_V4,FAQ004,Account,intent_004,Support question: I want the company to permanently remove my account.,Yes. Submit an account deletion request from Privacy Settings. The request may require identity verification before processing.,delete account privacy remove data verification,High,Yes,account,Synthetic e-commerce customer support dataset,4
FAQ005_V1,FAQ005,Orders,intent_005,Can I cancel my order?,"An order can be cancelled while its status is 'Processing'. Once it has been shipped, it cannot be cancelled and the return process must be used instead.",cancel order processing shipped,Normal,No,order,Synthetic e-commerce customer support dataset,1
FAQ005_V2,FAQ005,Orders,intent_005,Is it possible to stop an order before it is sent out?,"An order can be cancelled while its status is 'Processing'. Once it has been shipped, it cannot be cancelled and the return process must be used instead.",cancel order processing shipped,Normal,No,order,Synthetic e-commerce customer support dataset,2
FAQ005_V3,FAQ005,Orders,intent_005,Please help me with this customer issue: Is it possible to stop an order before it is sent out?,"An order can be cancelled while its status is 'Processing'. Once it has been shipped, it cannot be cancelled and the return process must be used instead.",cancel order processing shipped,Normal,No,order,Synthetic e-commerce customer support dataset,3
FAQ005_V4,FAQ005,Orders,intent_005,Support question: Is it possible to stop an order before it is sent out?,"An order can be cancelled while its status is 'Processing'. Once it has been shipped, it cannot be cancelled and the return process must be used instead.",cancel order processing shipped,Normal,No,order,Synthetic e-commerce customer support dataset,4
FAQ006_V1,FAQ006,Orders,intent_006,How can I track my order?,"Open My Orders, select the order, and choose 'Track Package'. Tracking becomes available after the shipment is handed to the carrier.",track package shipment order carrier,Normal,No,order,Synthetic e-commerce customer support dataset,1
FAQ006_V2,FAQ006,Orders,intent_006,Where can I see the tracking details for my purchase?,"Open My Orders, select the order, and choose 'Track Package'. Tracking becomes available after the shipment is handed to the carrier.",track package shipment order carrier,Normal,No,order,Synthetic e-commerce customer support dataset,2
FAQ006_V3,FAQ006,Orders,intent_006,Please help me with this customer issue: Where can I see the tracking details for my purchase?,"Open My Orders, select the order, and choose 'Track Package'. Tracking becomes available after the shipment is handed to the carrier.",track package shipment order carrier,Normal,No,order,Synthetic e-commerce customer support dataset,3
FAQ006_V4,FAQ006,Orders,intent_006,Support question: Where can I see the tracking details for my purchase?,"Open My Orders, select the order, and choose 'Track Package'. Tracking becomes available after the shipment is handed to the carrier.",track package shipment order carrier,Normal,No,order,Synthetic e-commerce customer support dataset,4
FAQ007_V1,FAQ007,Orders,intent_007,Can I change the delivery address after ordering?,The address can be changed only while the order is still in 'Processing'. Contact support if the order has not yet shipped.,change delivery address order processing,Normal,No,order,Synthetic e-commerce customer support dataset,1
FAQ007_V2,FAQ007,Orders,intent_007,I entered the wrong shipping address. Can I edit it now?,The address can be changed only while the order is still in 'Processing'. Contact support if the order has not yet shipped.,change delivery address order processing,Normal,No,order,Synthetic e-commerce customer support dataset,2
FAQ007_V3,FAQ007,Orders,intent_007,Please help me with this customer issue: I entered the wrong shipping address. Can I edit it now?,The address can be changed only while the order is still in 'Processing'. Contact support if the order has not yet shipped.,change delivery address order processing,Normal,No,order,Synthetic e-commerce customer support dataset,3
FAQ007_V4,FAQ007,Orders,intent_007,Support question: I entered the wrong shipping address. Can I edit it now?,The address can be changed only while the order is still in 'Processing'. Contact support if the order has not yet shipped.,change delivery address order processing,Normal,No,order,Synthetic e-commerce customer support dataset,4
FAQ008_V1,FAQ008,Orders,intent_008,My order shows delivered but I cannot find it. What should I do?,"Check the delivery location, household members, and carrier tracking details first. If the parcel is still missing, contact human support for an investigation.",delivered missing package parcel investigation,High,Yes,order,Synthetic e-commerce customer support dataset,1
FAQ008_V2,FAQ008,Orders,intent_008,"Tracking says delivered, but the package is not here.","Check the delivery location, household members, and carrier tracking details first. If the parcel is still missing, contact human support for an investigation.",delivered missing package parcel investigation,High,Yes,order,Synthetic e-commerce customer support dataset,2
